,Review,CleanedReview
52,"With word of mouth, you may have all known what a big hit ""Dangal"" became lately and the critical accolades the film received. Instead of taking the promotions for granted, I insist you to watch this film first.","With word of mouth, you may have all known what a big hit ""Dangal"" became lately and the critical accolades the film received. Instead of taking the promotions for granted, I insist you to watch this film first."
53,"Watched #Dangal! One of the finest film to come out of the Hindi film industry in a long time and mark my words, it will be remembered as a classic in times to come. An impressive journey, the one that leaves an impact. A tale well told, myriad of emotions well portrayed.Engaging, measured, empowering and motivating.An epitome of blood pumping motivational story telling.It blends drama, emotions, sportsmanship and patriotism extraordinarily. Dialogues just nourish your senses, inducing correct emotions.It is so brilliant that after few minutes, you just forget that you are watching film.You simply start witnessing the journey of Phogat's family.Terrific casting and exceptional performances.","Watched Dangal! One of the finest film to come out of the Hindi film industry in a long time and mark my words, it will be remembered as a classic in times to come. An impressive journey, the one that leaves an impact. A tale well told, myriad of emotions well portrayed.Engaging, measured, empowering and motivating.An epitome of blood pumping motivational story telling.It blends drama, emotions, sportsmanship and patriotism extraordinarily. Dialogues just nourish your senses, inducing correct emotions.It is so brilliant that after few minutes, you just forget that you are watching film.You simply start witnessing the journey of Phogat's family.Terrific casting and exceptional performances."
54,"What a staunch paunch and what a strong punch!?!? That's what Dangal is. Simple, true, gritty, raw, real and determined.","What a staunch paunch and what a strong punch!?!? That's what Dangal is. Simple, true, gritty, raw, real and determined."
55,"Starting with a small Review - ORIGINAL, POWERFUL & LEGENDARY. I can only say that"" I was on the edge of my seat the whole time"" That man Aamir khan is really a perfectionist, throughout the movie i couldn't even blink when he is delivering dialogues,really he is making Bollywood proud each and every time. Coming for our Director #Nitish ,he is just all perfect, he has taken Bollywood to the next height,he brought the wrestling scenes so engaging that for once I though I was watching the Live match, from #chillar party to #bhootnath to #dangal ,his work is just flawless . The #babita's character by #Suhani & #Sanya & #Geeta's by #Fatima and #Zaira was also mind blowing, still I liked the young geeta and babita more, best scenes were those where they used to get frustrated of the Khusti(wrestling). Nothing to say more, because for me it's an Oscar winning. So,our 2016 started with #Wazir and ending with #Dangal... Don't wait,watch DANGAL on 70mm screen and fly with it.. . . ..","Starting with a small Review - ORIGINAL, POWERFUL & LEGENDARY. I can only say that"" I was on the edge of my seat the whole time"" That man Aamir khan is really a perfectionist, throughout the movie i couldn't even blink when he is delivering dialogues,really he is making Bollywood proud each and every time. Coming for our Director Nitish ,he is just all perfect, he has taken Bollywood to the next height,he brought the wrestling scenes so engaging that for once I though I was watching the Live match, from chillar party to bhootnath to dangal ,his work is just flawless . The babita's character by Suhani & Sanya & Geeta's by Fatima and Zaira was also mind blowing, still I liked the young geeta and babita more, best scenes were those where they used to get frustrated of the Khusti(wrestling). Nothing to say more, because for me it's an Oscar winning. So,our 2016 started with Wazir and ending with Dangal... Don't wait,watch DANGAL on 70mm screen and fly with it.. . . .."
56,"At first, I would like to say that this is a very interesting(fictional-there's a reason) Bio-picture. But this movie is getting too much praise than it actually deserves. ","At first, I would like to say that this is a very interesting(fictional-there's a reason) Bio-picture. But this movie is getting too much praise than it actually deserves. "
57,"After watching Sultan, I was repelled with any more Haryanwi style movies going forward. I don't know if its lack of entertainment availability or have people completely lost their minds to enjoy the Sultan buffoonery. I saw the trailer for Dangal and decided I'm not going to watch this movie. Just last week, I saw a 30 second trailer where Mr. Aamir Khan's character has a dialogue with his office colleague while watching a wrestling match. And that included Mr. Aamir slamming a man twice his size on the floor with perfect form. I knew I had to watch this movie and erase the negative mindset that had been created because of Sultan the clown. Nonsense.","After watching Sultan, I was repelled with any more Haryanwi style movies going forward. I don't know if its lack of entertainment availability or have people completely lost their minds to enjoy the Sultan buffoonery. I saw the trailer for Dangal and decided I'm not going to watch this movie. Just last week, I saw a 30 second trailer where Mr. Aamir Khan's character has a dialogue with his office colleague while watching a wrestling match. And that included Mr. Aamir slamming a man twice his size on the floor with perfect form. I knew I had to watch this movie and erase the negative mindset that had been created because of Sultan the clown. Nonsense."
58,"Dangal is a very charming bio pic, I have been a fan of Aamir Khan's work ever since watching ""3 idiots"" and have since been a fan of many Indian films, which gets me quite excited to see this film. Dangal is well acted, directed, the music was great as well, but it seems to lack the depth that was so captivating in Aamir Khan's 3 Idiots or even in the more recent movie ""PK"".","Dangal is a very charming bio pic, I have been a fan of Aamir Khan's work ever since watching ""3 idiots"" and have since been a fan of many Indian films, which gets me quite excited to see this film. Dangal is well acted, directed, the music was great as well, but it seems to lack the depth that was so captivating in Aamir Khan's 3 Idiots or even in the more recent movie ""PK""."
59,"While off late, Bollywood have witnessed many sports movies, very few have been so focused on the sport as Dangal. Meticulously detailed to perfection - as expected from Aamir Khan, Dangal scores on almost every aspect - be it detailing, story telling, entertainment value, drama or humor. The last sports movie that was closest to this one was Chak De India.","While off late, Bollywood have witnessed many sports movies, very few have been so focused on the sport as Dangal. Meticulously detailed to perfection - as expected from Aamir Khan, Dangal scores on almost every aspect - be it detailing, story telling, entertainment value, drama or humor. The last sports movie that was closest to this one was Chak De India."
60,"Dangal is a film based on real life biography of wrestler Mahavir Singh Phogat and his two daughters, though you will nowhere feel like you are watching a film on a big screen. The emotions portrayed so well and the bonding connect with the audience so perfectly that it feels like it actually was a story of the same man on the screen(Aamir Khan) and his daughters(reel life actresses). All credits to the great director Mr. Nitesh Tiwari. I must tell it is not really a masala movie like the Bollywood industry usually offers, but a 'flicky roller-coaster' having ups and downs during different chapters of life. And moreover, the last half an hour of the movie is just gonna leave you in a nail- biting situation and if you watch it in theaters then you surely gonna get many chills and be making unwanted movements on your seats. Overall the film is a blast entertainer and a full family package. Ratings per categories: Storyline-8/10 Background music- 7/10 Casting-9*/10 Audience connecting-8/10 Cinematography(Film making)-8.5/10 Overall-8/10","Dangal is a film based on real life biography of wrestler Mahavir Singh Phogat and his two daughters, though you will nowhere feel like you are watching a film on a big screen. The emotions portrayed so well and the bonding connect with the audience so perfectly that it feels like it actually was a story of the same man on the screen(Aamir Khan) and his daughters(reel life actresses). All credits to the great director Mr. Nitesh Tiwari. I must tell it is not really a masala movie like the Bollywood industry usually offers, but a 'flicky roller-coaster' having ups and downs during different chapters of life. And moreover, the last half an hour of the movie is just gonna leave you in a nail- biting situation and if you watch it in theaters then you surely gonna get many chills and be making unwanted movements on your seats. Overall the film is a blast entertainer and a full family package. Ratings per categories: Storyline-8/10 Background music- 7/10 Casting-9*/10 Audience connecting-8/10 Cinematography(Film making)-8.5/10 Overall-8/10"
61,"In a rural town of North India, what would possibly be the concern of a father of ""four"" young girls? Many would say earning sufficient sustenance and arranging dowry to get them married. Gratefully one such father was pondering over a different set of anxiety all together – ""how to make world champions of his children"". ","In a rural town of North India, what would possibly be the concern of a father of ""four"" young girls? Many would say earning sufficient sustenance and arranging dowry to get them married. Gratefully one such father was pondering over a different set of anxiety all together – ""how to make world champions of his children"". "
62,"There are times when you are watching a movie and it ceases to be one; because you become a part of it. You become so integrated with what's happening that you start living every moment, every character. You feel invested in the motivations and its outcomes.","There are times when you are watching a movie and it ceases to be one; because you become a part of it. You become so integrated with what's happening that you start living every moment, every character. You feel invested in the motivations and its outcomes."
63,Aamir if you ever read this... Sabaaas!!!,Aamir if you ever read this... Sabaaas!!!
64,"What stands out in this movie is Screenplay and based on true story tag(maintains the awe of how real people went through this all through), never gives a feel of ordinary simple story. AK is a marketing genius on good content.The 2 standout event in the screenplay really made the story gripping driven by reason are below which is inspiring. 1. The daughters hitting the harassers and AK spotting their wrestling talent. 2. Accepting forced wrestling life as far better then dumb wedded life.","What stands out in this movie is Screenplay and based on true story tag(maintains the awe of how real people went through this all through), never gives a feel of ordinary simple story. AK is a marketing genius on good content.The 2 standout event in the screenplay really made the story gripping driven by reason are below which is inspiring. 1. The daughters hitting the harassers and AK spotting their wrestling talent. 2. Accepting forced wrestling life as far better then dumb wedded life."
65,"While the inherent theme gives hope to the junta that tenaciously pursues creating new possibilities for women by breaking stereotypes, what's also impressive is the beautiful portrayal of the dilemma faced by Geeta, one of the lead characters, between ""training under ascetic discipline"" and ""training under more comfortable modern circumstances"" when confronted with an option. Beyond all the filmatic Bollywood elements Dangal is a Revelation to be reflected upon!! The competitive aspects of wrestling and its strategies are well depicted in the movie. Cheers to Aamir Khan and the director!! Also kudos to the technicians - esp. art director, editor, music and camera.","While the inherent theme gives hope to the junta that tenaciously pursues creating new possibilities for women by breaking stereotypes, what's also impressive is the beautiful portrayal of the dilemma faced by Geeta, one of the lead characters, between ""training under ascetic discipline"" and ""training under more comfortable modern circumstances"" when confronted with an option. Beyond all the filmatic Bollywood elements Dangal is a Revelation to be reflected upon!! The competitive aspects of wrestling and its strategies are well depicted in the movie. Cheers to Aamir Khan and the director!! Also kudos to the technicians - esp. art director, editor, music and camera."
66,Dangal is one beast of a movie. You wouldn't want to miss this one at any cost! ,Dangal is one beast of a movie. You wouldn't want to miss this one at any cost! 
67,"This is the journey of a resolute father pitching his girls in the unfamiliar sporting arena dominated by men wrestling with stern opponents as well as the prevalent norms of our society. Director Nitesh Tiwari's ""Dangal"" is the back story of two sisters, Geeta and Babita's claim to fame in the international wrestling arena. The story starts with their Father Mahavir Singh Phogat, a former National Champion in Wrestling, who nurtures the aspiration that one day his to be born son will fulfill his unfulfilled dream. The dream of bringing gold medal for the country in an international event. But destiny had other plans and the couple were blessed with girl children for four consecutive times. Having given up on his aspirations, a twist of fate enables Mahavir to get rid of the social shackles and urges him to pursue his ambition with his two elder girls - Geeta and Babita. Thus begins the arduous journey of the Haryanvi Wrestler and his two daughters battling with society's gender stereotyping, social taboos and the administration's pathetic disposition towards sports.","This is the journey of a resolute father pitching his girls in the unfamiliar sporting arena dominated by men wrestling with stern opponents as well as the prevalent norms of our society. Director Nitesh Tiwari's ""Dangal"" is the back story of two sisters, Geeta and Babita's claim to fame in the international wrestling arena. The story starts with their Father Mahavir Singh Phogat, a former National Champion in Wrestling, who nurtures the aspiration that one day his to be born son will fulfill his unfulfilled dream. The dream of bringing gold medal for the country in an international event. But destiny had other plans and the couple were blessed with girl children for four consecutive times. Having given up on his aspirations, a twist of fate enables Mahavir to get rid of the social shackles and urges him to pursue his ambition with his two elder girls - Geeta and Babita. Thus begins the arduous journey of the Haryanvi Wrestler and his two daughters battling with society's gender stereotyping, social taboos and the administration's pathetic disposition towards sports."
68,"Yes, Indian films are a breed of their own, but ranking the film as high as top 250 all time - better than Vertigo for instance - is pure ridicule.","Yes, Indian films are a breed of their own, but ranking the film as high as top 250 all time - better than Vertigo for instance - is pure ridicule."
69,"Dangal Directed By Nitesh Tiwari is A Biographical Sports Drama. Movie is Loosely Based On Life Of ""Geeta Phogat"" A Freestyle Wrestler Who Won Gold Medal For India In Commonwealth Games, in 2010.","Dangal Directed By Nitesh Tiwari is A Biographical Sports Drama. Movie is Loosely Based On Life Of ""Geeta Phogat"" A Freestyle Wrestler Who Won Gold Medal For India In Commonwealth Games, in 2010."
70,"Amir khan is the most complete actor of all time. Words are always less to define him. He is perfect. His movie choice are perfect. Dangal is a very sublime, emotional, classic movie which will make you fall in love with every character of the film. Everybody is just perfect in the movie. The movie makes u laugh, cry and the feeling of patriotism is just over the top. U will fall in love with everyone while watching the movie. ","Amir khan is the most complete actor of all time. Words are always less to define him. He is perfect. His movie choice are perfect. Dangal is a very sublime, emotional, classic movie which will make you fall in love with every character of the film. Everybody is just perfect in the movie. The movie makes u laugh, cry and the feeling of patriotism is just over the top. U will fall in love with everyone while watching the movie. "
71,Dangal is truly a masterpiece! It's literally a breath of fresh air watching a masterpiece like this. Dangal is a very inspirational and emotional movie that will leave you completely speechless once you leave the theater. Here are the Pros and Cons that I've found in the movie. ,Dangal is truly a masterpiece! It's literally a breath of fresh air watching a masterpiece like this. Dangal is a very inspirational and emotional movie that will leave you completely speechless once you leave the theater. Here are the Pros and Cons that I've found in the movie. 
72,"While I understand Aamir khan is just an actor who is portraying a role, I find it highly hypocritical that he does TV shows like satya meva jayate, the essence is to fight for human rights and equality of gender. It is so disgusting how 9.5 out of 10 Indians like this movie without realizing how a failed wrestler is enforcing his will on to his innocent girls. I get it girls can do whatever boys can do ideology but this is not about equal rights this is about free- will. A human be it a girl or a boy has a right to live his or her life without someone telling them what to do with their lives. I wanted to be a doctor but i turned out to be a successful software engineer, I do well with my life but I'm not satisfied. Point is Indian society is succumbed to the idea of do what parents tell you, your life is like a car driven by your parents, what you really want to do doesn't matter in most cases. This ideology has to change. Like how will Smith in pursuit of happiness says to his ""don't ever let tell you what to do with your life, if you want to be something just go get it"". We should let kids achieve whatever they want to achieve rather than enforcing your will into the kids. I know a lot of people will not understand my stance, I'm hoping someone rational understands the point and let their kids achieve their own dreams not the parent's.","While I understand Aamir khan is just an actor who is portraying a role, I find it highly hypocritical that he does TV shows like satya meva jayate, the essence is to fight for human rights and equality of gender. It is so disgusting how 9.5 out of 10 Indians like this movie without realizing how a failed wrestler is enforcing his will on to his innocent girls. I get it girls can do whatever boys can do ideology but this is not about equal rights this is about free- will. A human be it a girl or a boy has a right to live his or her life without someone telling them what to do with their lives. I wanted to be a doctor but i turned out to be a successful software engineer, I do well with my life but I'm not satisfied. Point is Indian society is succumbed to the idea of do what parents tell you, your life is like a car driven by your parents, what you really want to do doesn't matter in most cases. This ideology has to change. Like how will Smith in pursuit of happiness says to his ""don't ever let tell you what to do with your life, if you want to be something just go get it"". We should let kids achieve whatever they want to achieve rather than enforcing your will into the kids. I know a lot of people will not understand my stance, I'm hoping someone rational understands the point and let their kids achieve their own dreams not the parent's."
73,"If I would I've seen this movie in 2016, it certainly would have been in my list of best movies. If you're going to this movie thinking Aamir will be flexing and showcasing his acting prowess then well and good but the girls are the highlight of the movie, hands down.","If I would I've seen this movie in 2016, it certainly would have been in my list of best movies. If you're going to this movie thinking Aamir will be flexing and showcasing his acting prowess then well and good but the girls are the highlight of the movie, hands down."
74,To call Dangal the movie of the year would be an understatement...,To call Dangal the movie of the year would be an understatement...
75,I normally don't write reviews but this movie is so good that I felt its my responsibility to spread the word. I too feel this movie should be made tax free so more n more people are able to see it. As we know its a true story which makes it truly special. Its true that truth is stranger than fiction and lot more inspiring as well. ,I normally don't write reviews but this movie is so good that I felt its my responsibility to spread the word. I too feel this movie should be made tax free so more n more people are able to see it. As we know its a true story which makes it truly special. Its true that truth is stranger than fiction and lot more inspiring as well. 
76,"This is how you make a phenomenal sports drama, this is how you make a real authentic wrestling movie. Compared to this, you'll forget Sultan.","This is how you make a phenomenal sports drama, this is how you make a real authentic wrestling movie. Compared to this, you'll forget Sultan."
77,"Very rare one would come across a film that leaves a lasting impression. That not only entertains but also empowers. A film that compels each & every person in theatre for a standing ovation. Dangal is one of its kind film. While watching this awe-inspiring film I cried, laughed, cheered & became spellbound. Based on an incredible real life story of Mahavir Singh Phogat & his daughters Dangal strikes a Gold. It outshines in every department of film making. From very first scene Dangal stays focused to its story thus helping viewers attention remain clinged to the essential theme of the film; i.e Wrestling.The opening credit is a spectacular ode to the game with the close- up shots of the Wrestlers in Akhadas. Daler Mehandi's thundering voice from the background added more to its brilliance. The strength of Dangal lies in its treatment of storytelling. It never glorifies any of its characters unnecessarily. We are introduced to a gloomy faced Aamir Khan with unfulfilled aspirations and then succumbed to circumstances forcing him to take up a Govt job.No extravagant entry scene. From this very point you know that you are seeing the National Champion Mahavir Singh Phogat, not the superstar Aamir Khan. The actor as we know him, never fails to amaze us. He did not actually play the character. He lived it. A performance of life time. I believe if this film was made in Hollywood, Aamir Khan would surely be given an Oscar. Though we are quite familiar with Aamir's style of method acting but the other cast of the films have equally given a stupendous performance. Fatima Sana Sheikh, Sanya Malhotra, Suhani Bhatnagar, Zahra Wasim, Apashakti Khurana, Sakshi Tanwar everyone acted convincingly maintaining the authenticity in accent, body language & dialogue delivery. The girls in lead really worked hard. Their commitment & dedication was clearly visible in the wrestling scenes. Not for a single moment they made us feel that they are not professional wrestlers. Dangal is also an eye-opener for biopic film makers in India. Previously I have seen in Mary Kom,Priyanka Chopra acted the whole film without knowing properly how to punch! This is where lies the difference. Dangal also soars high as a matured sports film. Never before any Bollywood films has shown the sports technicalities in minute details. Dangal is a winner all the way. Kudos to director Nitesh Tiwari. It takes immense courage & strong vision to helm such a project. And once again credits to the Santa Claus of Indian cinema- Aamir Khan for being the flag-bearer of 'Meaningful Entertainment' & gifting us the most wonderful cinematic experiences. Dangal is definitely one of the best films ever made.","Very rare one would come across a film that leaves a lasting impression. That not only entertains but also empowers. A film that compels each & every person in theatre for a standing ovation. Dangal is one of its kind film. While watching this awe-inspiring film I cried, laughed, cheered & became spellbound. Based on an incredible real life story of Mahavir Singh Phogat & his daughters Dangal strikes a Gold. It outshines in every department of film making. From very first scene Dangal stays focused to its story thus helping viewers attention remain clinged to the essential theme of the film; i.e Wrestling.The opening credit is a spectacular ode to the game with the close- up shots of the Wrestlers in Akhadas. Daler Mehandi's thundering voice from the background added more to its brilliance. The strength of Dangal lies in its treatment of storytelling. It never glorifies any of its characters unnecessarily. We are introduced to a gloomy faced Aamir Khan with unfulfilled aspirations and then succumbed to circumstances forcing him to take up a Govt job.No extravagant entry scene. From this very point you know that you are seeing the National Champion Mahavir Singh Phogat, not the superstar Aamir Khan. The actor as we know him, never fails to amaze us. He did not actually play the character. He lived it. A performance of life time. I believe if this film was made in Hollywood, Aamir Khan would surely be given an Oscar. Though we are quite familiar with Aamir's style of method acting but the other cast of the films have equally given a stupendous performance. Fatima Sana Sheikh, Sanya Malhotra, Suhani Bhatnagar, Zahra Wasim, Apashakti Khurana, Sakshi Tanwar everyone acted convincingly maintaining the authenticity in accent, body language & dialogue delivery. The girls in lead really worked hard. Their commitment & dedication was clearly visible in the wrestling scenes. Not for a single moment they made us feel that they are not professional wrestlers. Dangal is also an eye-opener for biopic film makers in India. Previously I have seen in Mary Kom,Priyanka Chopra acted the whole film without knowing properly how to punch! This is where lies the difference. Dangal also soars high as a matured sports film. Never before any Bollywood films has shown the sports technicalities in minute details. Dangal is a winner all the way. Kudos to director Nitesh Tiwari. It takes immense courage & strong vision to helm such a project. And once again credits to the Santa Claus of Indian cinema- Aamir Khan for being the flag-bearer of 'Meaningful Entertainment' & gifting us the most wonderful cinematic experiences. Dangal is definitely one of the best films ever made."
78,"Review by AJ. In cinemas now: ""DANGAL"" MUST SEE, at least 2 or 3 times ! One of the most beautiful and bold films made by one of the jewels of India, mr Aamir Khan. It's such a loving and touching film about making a dream come true. To endure hardships and pain, to hold on to the trust, faith and innerstrength. Especially for women, not only in India, but all over the world, there's more to Life than the responsibility of the kitchen & family. Women have so much potential, if every woman would live her dream and exploit her own talents, can you imagine how fast forward this world would become. It's not about competing with men, or slaying them. It's about the real power women possess. What they can give to the world. And second it's about the delicate (and strong at the same time), the father-daughter relationship, the tears, the love, the hard life-lessons, seeking his approval, trying to say sorry when pride gets in the way (such a heartbreaking scene). I promise you, your tears will come straight from the heart, cause every girl has gone through this moment in her Life.. It has such an impact on the thoughts of men and women. There is no doubt anymore. It is proved, a woman can achieve what she wants, so no more excuses. But you have to be ready to go beyond the boundaries, conquer your fears, confront yourself, accept your weakness, be greedy enough to taste the victory. You want it so bad, you are willing to give up what you cherish most about yourself. But more important you must be able to distinguish what is good for you and what is bad. Cause pride can make you do things that are horrid to your character, it is not you and it is no part of your dream. But it is the lesson you have to learn on the path to becoming the champion. Becoming the winner you already are. To become a wrestler, one has to be stripped down from all thoughts one has had till now. And learn from a different source of knowledge and that's where the powerful father also guru steps in. He can mould her, but she has to do the job. It's not easy to get up at 5 am and go jogging in the fields, but if you are focused you will do it. If it means you can't eat all the sweet and tasty meals you used to eat, you will make the decision to not eat them. There's the difference, no compromise, it's just a yes or no, that simple, cause that will make you the winner. Some people are meant to be great, they work harder than anyone else. To make his dream come true, the father, Mahavir (even his name is great) changed his mindset. Men and women are equal, that's what he believed (unlike a lot of other people). He's a man who is a true man from the core. His respect for Life, for his parents, for his medal, for his lovely family, it's so grand. His daughters are his pride and strength. And if he says something, you can bet it will touch your heart and mind. He's so powerful without being rude or disrespectful. He's the ultimate teacher ! And he is right about the fact that sport in India has no support from the government. Cause if they would create a department for sports only, can you imagine how many medals India would win in all those world-competitions. So many talents are wasted as we speak, sporters settle down for a job, cause they have to eat, one can't eat a medal. The fight-scenes are exquisite in quality, you can actually hear and feel bones being cracked and crushed, muscles being tightened and bodies being slammed to the ground. It's Shakti-power all over the place. The songs are heartwarming and daring, it's tough to be a girl in a man's world and have the heart of a Lion, be strong as a bear and sharp as an eagle. Thank you Aamir Khan, once again, in making this world a better place, showing us the path to positivity and progress !","Review by AJ. In cinemas now: ""DANGAL"" MUST SEE, at least 2 or 3 times ! One of the most beautiful and bold films made by one of the jewels of India, mr Aamir Khan. It's such a loving and touching film about making a dream come true. To endure hardships and pain, to hold on to the trust, faith and innerstrength. Especially for women, not only in India, but all over the world, there's more to Life than the responsibility of the kitchen & family. Women have so much potential, if every woman would live her dream and exploit her own talents, can you imagine how fast forward this world would become. It's not about competing with men, or slaying them. It's about the real power women possess. What they can give to the world. And second it's about the delicate (and strong at the same time), the father-daughter relationship, the tears, the love, the hard life-lessons, seeking his approval, trying to say sorry when pride gets in the way (such a heartbreaking scene). I promise you, your tears will come straight from the heart, cause every girl has gone through this moment in her Life.. It has such an impact on the thoughts of men and women. There is no doubt anymore. It is proved, a woman can achieve what she wants, so no more excuses. But you have to be ready to go beyond the boundaries, conquer your fears, confront yourself, accept your weakness, be greedy enough to taste the victory. You want it so bad, you are willing to give up what you cherish most about yourself. But more important you must be able to distinguish what is good for you and what is bad. Cause pride can make you do things that are horrid to your character, it is not you and it is no part of your dream. But it is the lesson you have to learn on the path to becoming the champion. Becoming the winner you already are. To become a wrestler, one has to be stripped down from all thoughts one has had till now. And learn from a different source of knowledge and that's where the powerful father also guru steps in. He can mould her, but she has to do the job. It's not easy to get up at 5 am and go jogging in the fields, but if you are focused you will do it. If it means you can't eat all the sweet and tasty meals you used to eat, you will make the decision to not eat them. There's the difference, no compromise, it's just a yes or no, that simple, cause that will make you the winner. Some people are meant to be great, they work harder than anyone else. To make his dream come true, the father, Mahavir (even his name is great) changed his mindset. Men and women are equal, that's what he believed (unlike a lot of other people). He's a man who is a true man from the core. His respect for Life, for his parents, for his medal, for his lovely family, it's so grand. His daughters are his pride and strength. And if he says something, you can bet it will touch your heart and mind. He's so powerful without being rude or disrespectful. He's the ultimate teacher ! And he is right about the fact that sport in India has no support from the government. Cause if they would create a department for sports only, can you imagine how many medals India would win in all those world-competitions. So many talents are wasted as we speak, sporters settle down for a job, cause they have to eat, one can't eat a medal. The fight-scenes are exquisite in quality, you can actually hear and feel bones being cracked and crushed, muscles being tightened and bodies being slammed to the ground. It's Shakti-power all over the place. The songs are heartwarming and daring, it's tough to be a girl in a man's world and have the heart of a Lion, be strong as a bear and sharp as an eagle. Thank you Aamir Khan, once again, in making this world a better place, showing us the path to positivity and progress !"
79,"I believe this film teaches us wrong things. Basicly, the father forces his daughters to do his dream, to win a gold medal for a country, because he himself wasn't good enough to do it himself. Secondly, supposedly even silver is not good enough for the father. What kind of father is that, he's lucky his daughters are cable of all that but with all this he could've not only mentally damages both of his daughters but ruin their life too. He gave them no free will of what they want from life, he forced them to live their whole lives how he wanted them to be.","I believe this film teaches us wrong things. Basicly, the father forces his daughters to do his dream, to win a gold medal for a country, because he himself wasn't good enough to do it himself. Secondly, supposedly even silver is not good enough for the father. What kind of father is that, he's lucky his daughters are cable of all that but with all this he could've not only mentally damages both of his daughters but ruin their life too. He gave them no free will of what they want from life, he forced them to live their whole lives how he wanted them to be."
80,"If you think Dangal is another textbook biography flick, I reckon you will be surprised with the entire flick from head to the toe. Dangal is a masterpiece and well-directed movie. Nearly perfect story line, without any doubt. Every cast played their roles naturally, especially Aamir Khan. I have watched an array of his previous movies but Dangal demonstrates his masterclass. In addition, credit should be given to all of the casts for the eminent acting. Granted, there are no typical love scenes, no unnecessary scenes and no visible technical non-senses. The time line was crystal clear. At 160 minutes, this film is fairly long. However, the background music and soundtracks were absolute stellar to uplift the ambiance of this movie. Overall, this flick is such an inspirational and elevating especially to drive our motivation to clinch the success. Highly recommended.","If you think Dangal is another textbook biography flick, I reckon you will be surprised with the entire flick from head to the toe. Dangal is a masterpiece and well-directed movie. Nearly perfect story line, without any doubt. Every cast played their roles naturally, especially Aamir Khan. I have watched an array of his previous movies but Dangal demonstrates his masterclass. In addition, credit should be given to all of the casts for the eminent acting. Granted, there are no typical love scenes, no unnecessary scenes and no visible technical non-senses. The time line was crystal clear. At 160 minutes, this film is fairly long. However, the background music and soundtracks were absolute stellar to uplift the ambiance of this movie. Overall, this flick is such an inspirational and elevating especially to drive our motivation to clinch the success. Highly recommended."
81,Sublime efforts has earned a place in the hearts of movie goers. Excellent movie. The initial scenes have set the movie well – No time consuming introductions – and the narration gets intense when Mahavir starts training his daughters to be a wrestler. Funny dialogues and comedy sequences with Geeta's cousin were entertaining in the first half. The Haanikaarak Bapu song was so cute with the two daughters struggling to keep up with their father's training. Zaira Wasim and Suhani Bhatnagar who played the role of young Geeta and Bhabita have showcased exceptional acting.,Sublime efforts has earned a place in the hearts of movie goers. Excellent movie. The initial scenes have set the movie well – No time consuming introductions – and the narration gets intense when Mahavir starts training his daughters to be a wrestler. Funny dialogues and comedy sequences with Geeta's cousin were entertaining in the first half. The Haanikaarak Bapu song was so cute with the two daughters struggling to keep up with their father's training. Zaira Wasim and Suhani Bhatnagar who played the role of young Geeta and Bhabita have showcased exceptional acting.
82,"What it would have felt to light up the fire for the first time ... what it would have felt to each individual who chose to break the stereotype. How it would have felt to fight against the stereotype and launch Geeta and Babita into the wrestling arena that too in Haryana. The journey of a dream, the journey of an aspiration journey of a father and journey of two brave girls from the small village of Haryana to become the IKON of Indian National women wrestling. If you are movie goer like me, it is high time that you go line up in a theater near you and watch #DANGAL. Now a day amidst nudity, cheapness and useless love stories very rare to see people clap for a movie, that too in the US it is never easy to get the audience to clap. You will be thrilled to take the journey with Amir as a father. you will be on the edge of your seat for many scenes. you will come out of the theater inspired. Amir thanks for #Dangal, irrespective of insensitive remarks against India I opt to pay for your movie and really thankful that I did watch your tribute to Geeta, Babita, and Mahavir Singh Phogat.","What it would have felt to light up the fire for the first time ... what it would have felt to each individual who chose to break the stereotype. How it would have felt to fight against the stereotype and launch Geeta and Babita into the wrestling arena that too in Haryana. The journey of a dream, the journey of an aspiration journey of a father and journey of two brave girls from the small village of Haryana to become the IKON of Indian National women wrestling. If you are movie goer like me, it is high time that you go line up in a theater near you and watch DANGAL. Now a day amidst nudity, cheapness and useless love stories very rare to see people clap for a movie, that too in the US it is never easy to get the audience to clap. You will be thrilled to take the journey with Amir as a father. you will be on the edge of your seat for many scenes. you will come out of the theater inspired. Amir thanks for Dangal, irrespective of insensitive remarks against India I opt to pay for your movie and really thankful that I did watch your tribute to Geeta, Babita, and Mahavir Singh Phogat."
83,"When going for a movie its customary to check the run time. If its more than 2 hours, it is expected to have some intimate moments with your mobile, during the movie. that's the kind of quality we have in movies these days. There is only one moment during the 161 min run time of this movie, when you take out your mobile from your pocket to check your messages & missed calls, that is the interval.and most likely you will do that with blurry eyes. There are good movies, there are excellent movies and then there are movies that leave you speechless. you don't know what part of movie to praise.Every element is so perfectly woven together. This movie is an encounter of the third kind. No matter what kind of movie goer you are, you will love it.","When going for a movie its customary to check the run time. If its more than 2 hours, it is expected to have some intimate moments with your mobile, during the movie. that's the kind of quality we have in movies these days. There is only one moment during the 161 min run time of this movie, when you take out your mobile from your pocket to check your messages & missed calls, that is the interval.and most likely you will do that with blurry eyes. There are good movies, there are excellent movies and then there are movies that leave you speechless. you don't know what part of movie to praise.Every element is so perfectly woven together. This movie is an encounter of the third kind. No matter what kind of movie goer you are, you will love it."
84,"Hello All,","Hello All,"
